"Basis_Set","Functional","Nucleus","Energy","SIE_estimate"
"def2-QZVPP","CAM-B3LYP","Na",-60.4555971703,0.0443687014999981
"def2-QZVPP","CAM-B3LYP","Mg",-71.9530687954,0.0469036247999952
"def2-QZVPP","CAM-B3LYP","Al",-84.4505874327,0.0493832500999929
"def2-QZVPP","CAM-B3LYP","Si",-97.9481491982,0.0518184780000013
"def2-QZVPP","CAM-B3LYP","P",-112.4457445947,0.0542181072000005
"def2-QZVPP","CAM-B3LYP","S",-127.9433686575,0.0565889243000015
"def2-QZVPP","CAM-B3LYP","Cl",-144.4410139378,0.058935950700004
"def2-QZVPP","CAM-B3LYP","Ar",-161.9386818146,0.0612634554000238
"def2-QZVPP","CAM-B3LYP","K",-180.4363464781,0.0635593572000062
"def2-QZVPP","CAM-B3LYP","Ca",-199.9340522928,0.0658649240999978
"def2-QZVPP","CAM-B3LYP","Sc",-220.4317381358,0.0681479858000102
"def2-QZVPP","CAM-B3LYP","Ti",-241.9294804363,0.07042395389999
"def2-QZVPP","CAM-B3LYP","V",-264.4271995659,0.0726902716999689
"def2-QZVPP","CAM-B3LYP","Cr",-287.9249275501,0.0749492459000294
"def2-QZVPP","CAM-B3LYP","Mn",-312.4226765211,0.0771996630999752
"def2-QZVPP","CAM-B3LYP","Fe",-337.9204095843,0.0794480233000172
"def2-QZVPP","CAM-B3LYP","Co",-364.418158002,0.0816897322999921
"def2-QZVPP","CAM-B3LYP","Ni",-391.9159028231,0.0839268400999913
"def2-QZVPP","CAM-B3LYP","Cu",-420.4136475142,0.0861629687999539
"def2-QZVPP","CAM-B3LYP","Zn",-449.9114168274,0.0883907711000234
"def2-QZVPP","CAM-B3LYP","Ga",-480.4091945785,0.0906260780000139
"def2-QZVPP","CAM-B3LYP","Ge",-511.9069550271,0.0928561754999464
"def2-QZVPP","CAM-B3LYP","As",-544.4047094497,0.0950801361000231
"def2-QZVPP","CAM-B3LYP","Se",-577.9023523642,0.0973015699998996
"def2-QZVPP","CAM-B3LYP","Br",-612.4001909271,0.0995198469000798
"def2-QZVPP","CAM-B3LYP","Kr",-647.8978945696,0.101736920899953
"def2-QZVPP","LDA","H",-0.4786225029,0.0213607949
"def2-QZVPP","LDA","He",-1.9416580519,0.0582892569
"def2-QZVPP","LDA","Li",-4.4020457402,0.0979467484000001
"def2-QZVPP","LDA","Be",-7.8611619919,0.138826691799999
"def2-QZVPP","LDA","B",-12.3195598793,0.180424024800001
"def2-QZVPP","LDA","C",-17.7774837247,0.222493946499998
"def2-QZVPP","LDA","N",-24.2350700746,0.264899918400001
"def2-QZVPP","LDA","O",-31.6924033637,0.3075576166
"def2-QZVPP","LDA","F",-40.1495340685,0.350411294699995
"def2-QZVPP","LDA","Ne",-49.6065084249,0.393421680899998
"def2-QZVPP","LDA","Na",-60.0634041197,0.436561752099998
"def2-QZVPP","LDA","Mg",-71.5201646379,0.4798077823
"def2-QZVPP","LDA","Al",-83.9768253801,0.523145302700001
"def2-QZVPP","LDA","Si",-97.433406821,0.566560855199995
"def2-QZVPP","LDA","P",-111.8899184544,0.610044247499999
"def2-QZVPP","LDA","S",-127.3463703318,0.653587250000001
"def2-QZVPP","LDA","Cl",-143.8027670891,0.697182799399997
"def2-QZVPP","LDA","Ar",-161.2591198747,0.740825395300021
"def2-QZVPP","LDA","K",-179.7153986245,0.784507210800001
"def2-QZVPP","LDA","Ca",-199.1716885269,0.828228690000003
"def2-QZVPP","LDA","Sc",-219.6279013644,0.871984757200011
"def2-QZVPP","LDA","Ti",-241.0841311118,0.915773278399996
"def2-QZVPP","LDA","V",-263.540300241,0.959589596599983
"def2-QZVPP","LDA","Cr",-286.9964445393,1.00343225670002
"def2-QZVPP","LDA","Mn",-311.4525767675,1.04729941670001
"def2-QZVPP","LDA","Fe",-336.9086692543,1.09118835330003
"def2-QZVPP","LDA","Co",-363.364749427,1.13509830729998
"def2-QZVPP","LDA","Ni",-390.8208022895,1.17902737369997
"def2-QZVPP","LDA","Cu",-419.2768359288,1.22297455419999
"def2-QZVPP","LDA","Zn",-448.7328691475,1.26693845099999
"def2-QZVPP","LDA","Ga",-479.1888994604,1.31092119609997
"def2-QZVPP","LDA","Ge",-510.6448930953,1.35491810729997
"def2-QZVPP","LDA","As",-543.1008617763,1.39892780950004
"def2-QZVPP","LDA","Se",-576.5567044984,1.44294943579996
"def2-QZVPP","LDA","Br",-611.0127258652,1.48698490880008
"def2-QZVPP","LDA","Kr",-646.4686014841,1.53103000639999
"def2-QZVPP","wB97M-V","H",-0.4945936096,0.00538968820000002
"def2-QZVPP","wB97M-V","He",-1.9891744265,0.0107728823
"def2-QZVPP","wB97M-V","Li",-4.4882067609,0.0117857277000004
"def2-QZVPP","wB97M-V","Be",-7.9897423396,0.0102463440999996
"def2-QZVPP","wB97M-V","B",-12.4926072482,0.00737665589999992
