"System","Functional","BasisSet","Distance","Nucleus","HF_Energy","DFA_Energy","SIE_estimate"
"Triangle","BLYP","def2-QZVPP",3.1,"H",-0.3573133519,-0.4259315985,-0.0686182466
"Triangle","BLYP","def2-QZVPP",3.2,"H",-0.358824449,-0.4306277794,-0.0718033304
"Triangle","BLYP","def2-QZVPP",3.3,"H",-0.3605023719,-0.4352784267,-0.0747760548
"Triangle","BLYP","def2-QZVPP",3.4,"H",-0.3623244756,-0.4398653261,-0.0775408505
"Triangle","BLYP","def2-QZVPP",3.5,"H",-0.3642650519,-0.4443717005,-0.0801066486
"Triangle","BLYP","def2-QZVPP",3.6,"H",-0.3662987264,-0.4487835798,-0.0824848534
"Triangle","BLYP","def2-QZVPP",3.7,"H",-0.3684021804,-0.4530902941,-0.0846881137
"Triangle","BLYP","def2-QZVPP",3.8,"H",-0.3705547744,-0.4572832884,-0.086728514
"Triangle","BLYP","def2-QZVPP",3.9,"H",-0.3727386016,-0.4613566277,-0.0886180261
"Triangle","BLYP","def2-QZVPP",4,"H",-0.3749383094,-0.4653071871,-0.0903688777
"Triangle","BLYP","def2-QZVPP",4.1,"H",-0.3771408299,-0.4691331283,-0.0919922984
"Triangle","BLYP","def2-QZVPP",4.2,"H",-0.3793351269,-0.4728336866,-0.0934985597
"Triangle","BLYP","def2-QZVPP",4.3,"H",-0.3815119563,-0.4764099711,-0.0948980148
"Triangle","BLYP","def2-QZVPP",4.4,"H",-0.3836636521,-0.4798641594,-0.0962005073
"Triangle","BLYP","def2-QZVPP",4.5,"H",-0.3857839494,-0.4831984852,-0.0974145358
"Triangle","BLYP","def2-QZVPP",4.6,"H",-0.3878678066,-0.4864157187,-0.0985479121
"Triangle","BLYP","def2-QZVPP",4.7,"H",-0.3899112617,-0.4895195137,-0.099608252
"Triangle","BLYP","def2-QZVPP",4.8,"H",-0.3919112876,-0.4925138251,-0.1006025375
"Triangle","BLYP","def2-QZVPP",4.9,"H",-0.3938656609,-0.4954023923,-0.1015367314
"Triangle","BLYP","def2-QZVPP",5,"H",-0.3957728512,-0.498188961,-0.1024161098
"Triangle","BLYP","def2-QZVPP",5.1,"H",-0.3976319065,-0.5008775951,-0.1032456886
"Triangle","BLYP","def2-QZVPP",5.2,"H",-0.3994423652,-0.5034724028,-0.1040300376
"Triangle","BLYP","def2-QZVPP",5.3,"H",-0.4012041684,-0.5059773787,-0.1047732103
"Triangle","BLYP","def2-QZVPP",5.4,"H",-0.4029175837,-0.5083962366,-0.1054786529
"Triangle","BLYP","def2-QZVPP",5.5,"H",-0.4045831482,-0.5107326539,-0.1061495057
"Triangle","BLYP","def2-QZVPP",5.6,"H",-0.4062016067,-0.5129902542,-0.1067886475
"Triangle","BLYP","def2-QZVPP",5.7,"H",-0.4077738733,-0.5151725411,-0.1073986678
"Triangle","BLYP","def2-QZVPP",5.8,"H",-0.4093009854,-0.5172828824,-0.107981897
"Triangle","BLYP","def2-QZVPP",5.9,"H",-0.4107840778,-0.5193244493,-0.1085403715
"Triangle","BLYP","def2-QZVPP",6,"H",-0.4122243531,-0.5213002653,-0.1090759122
"Triangle","BLYP","def2-QZVPP",6.1,"H",-0.4136230588,-0.5232132229,-0.1095901641
"Triangle","BLYP","def2-QZVPP",6.2,"H",-0.4149814697,-0.5250660682,-0.1100845985
"Triangle","BLYP","def2-QZVPP",6.3,"H",-0.4163008739,-0.5268614255,-0.1105605516
"Triangle","BLYP","def2-QZVPP",6.4,"H",-0.4175825614,-0.5286018162,-0.1110192548
"Triangle","BLYP","def2-QZVPP",6.5,"H",-0.418827813,-0.530289628,-0.111461815
"Triangle","BLYP","def2-QZVPP",6.6,"H",-0.420037891,-0.531927123,-0.111889232
"Triangle","BLYP","def2-QZVPP",6.7,"H",-0.4212140366,-0.5335164359,-0.1123023993
"Triangle","BLYP","def2-QZVPP",6.8,"H",-0.4223574606,-0.5350595695,-0.1127021089
"Triangle","BLYP","def2-QZVPP",6.9,"H",-0.423469344,-0.5365584288,-0.1130890848
"Triangle","BLYP","def2-QZVPP",7,"H",-0.4245508331,-0.5380148436,-0.1134640105
"Triangle","BLYP","def2-QZVPP",7.1,"H",-0.4256030361,-0.5394305676,-0.1138275315
"Triangle","BLYP","def2-QZVPP",7.2,"H",-0.4266270255,-0.5408072738,-0.1141802483
"Triangle","BLYP","def2-QZVPP",7.3,"H",-0.4276238335,-0.5421465423,-0.1145227088
"Triangle","BLYP","def2-QZVPP",7.4,"H",-0.4285944552,-0.5434498573,-0.1148554021
"Triangle","BLYP","def2-QZVPP",7.5,"H",-0.4295398472,-0.5447186118,-0.1151787646
"Triangle","BLYP","def2-QZVPP",7.6,"H",-0.4304609264,-0.5459541238,-0.1154931974
"Triangle","BLYP","def2-QZVPP",7.7,"H",-0.4313585744,-0.5471576583,-0.1157990839
"Triangle","BLYP","def2-QZVPP",7.8,"H",-0.4322336356,-0.5483304311,-0.1160967955
"Triangle","BLYP","def2-QZVPP",7.9,"H",-0.433086919,-0.5494736112,-0.1163866922
"Triangle","BLYP","def2-QZVPP",8,"H",-0.4339192004,-0.550588316,-0.1166691156
"Triangle","BLYP","def2-QZVPP",8.1,"H",-0.4347312209,-0.5516756018,-0.1169443809
"Triangle","BLYP","def2-QZVPP",8.2,"H",-0.435523692,-0.5527364664,-0.1172127744
"Triangle","BLYP","def2-QZVPP",8.3,"H",-0.4362972929,-0.5537718479,-0.117474555
"Triangle","BLYP","def2-QZVPP",8.4,"H",-0.4370526751,-0.5547826375,-0.1177299624
"Triangle","BLYP","def2-QZVPP",8.5,"H",-0.4377904623,-0.5557696864,-0.1179792241
"Triangle","BLYP","def2-QZVPP",8.6,"H",-0.4385112503,-0.556733811,-0.1182225607
"Triangle","BLYP","def2-QZVPP",8.7,"H",-0.4392156112,-0.5576757996,-0.1184601884
"Triangle","BLYP","def2-QZVPP",8.8,"H",-0.4399040912,-0.5585964087,-0.1186923175
"Triangle","BLYP","def2-QZVPP",8.9,"H",-0.4405772148,-0.5594963659,-0.1189191511
"Triangle","BLYP","def2-QZVPP",9,"H",-0.4412354843,-0.5603763664,-0.1191408821
"Triangle","BLYP","def2-QZVPP",9.1,"H",-0.44187938,-0.56123707,-0.11935769
"Triangle","BLYP","def2-QZVPP",9.2,"H",-0.4425093639,-0.5620791052,-0.1195697413
"Triangle","BLYP","def2-QZVPP",9.3,"H",-0.4431258773,-0.5629030671,-0.1197771898
"Triangle","BLYP","def2-QZVPP",9.4,"H",-0.4437293446,-0.563709524,-0.1199801794
"Triangle","BLYP","def2-QZVPP",9.5,"H",-0.4443201729,-0.5644990202,-0.1201788473
"Triangle","BLYP","def2-QZVPP",9.6,"H",-0.4448987521,-0.565272077,-0.1203733249
"Triangle","BLYP","def2-QZVPP",9.7,"H",-0.4454654575,-0.5660291982,-0.1205637407
"Triangle","BLYP","def2-QZVPP",9.8,"H",-0.4460206483,-0.5667708677,-0.1207502194
"Triangle","BLYP","def2-QZVPP",9.9,"H",-0.4465646705,-0.5674975535,-0.120932883
"Triangle","BLYP","def2-QZVPP",10,"H",-0.4470978566,-0.5682097069,-0.1211118503
"Triangle","BLYP","def2-QZVPP",10.1,"H",-0.4476205252,-0.568907762,-0.1212872368
"Triangle","BLYP","def2-QZVPP",10.2,"H",-0.4481329836,-0.5695921385,-0.1214591549
"Triangle","BLYP","def2-QZVPP",10.3,"H",-0.4486355272,-0.5702632386,-0.1216277114
"Triangle","BLYP","def2-QZVPP",10.4,"H",-0.4491284399,-0.5709214497,-0.1217930098
"Triangle","BLYP","def2-QZVPP",10.5,"H",-0.4496119966,-0.5715671449,-0.1219551483
"Triangle","BLYP","def2-QZVPP",10.6,"H",-0.4500864576,-0.5722006767,-0.1221142191
"Triangle","BLYP","def2-QZVPP",10.7,"H",-0.4505520781,-0.5728223885,-0.1222703104
"Triangle","BLYP","def2-QZVPP",10.8,"H",-0.4510091019,-0.5734326072,-0.1224235053
"Triangle","BLYP","def2-QZVPP",10.9,"H",-0.4514577646,-0.5740316484,-0.1225738838
"Triangle","BLYP","def2-QZVPP",11,"H",-0.4518982928,-0.5746198144,-0.1227215216
"Triangle","BLYP","def2-QZVPP",11.1,"H",-0.4523309055,-0.5751973978,-0.1228664923
"Triangle","BLYP","def2-QZVPP",11.2,"H",-0.4527558139,-0.5757646805,-0.1230088666
"Triangle","BLYP","def2-QZVPP",11.3,"H",-0.4531732211,-0.5763219339,-0.1231487128
"Triangle","BLYP","def2-QZVPP",11.4,"H",-0.4535833242,-0.576869421,-0.1232860968
"Triangle","BLYP","def2-QZVPP",11.5,"H",-0.4539863124,-0.577407395,-0.1234210826
"Triangle","BLYP","def2-QZVPP",11.6,"H",-0.4543823693,-0.5779361012,-0.1235537319
"Triangle","BLYP","def2-QZVPP",11.7,"H",-0.4547716719,-0.5784557767,-0.1236841048
"Triangle","BLYP","def2-QZVPP",11.8,"H",-0.455154391,-0.57896665,-0.123812259
"Triangle","BLYP","def2-QZVPP",11.9,"H",-0.4555306922,-0.5794689429,-0.1239382507
"Triangle","BLYP","def2-QZVPP",12,"H",-0.4559007352,-0.579962869,-0.1240621338
"Triangle","BLYP","def2-QZVPP",12.1,"H",-0.4562646747,-0.5804486355,-0.1241839608
"Triangle","BLYP","def2-QZVPP",12.2,"H",-0.4566226602,-0.5809264431,-0.1243037829
"Triangle","BLYP","def2-QZVPP",12.3,"H",-0.4569748365,-0.5813964849,-0.1244216484
"Triangle","BLYP","def2-QZVPP",12.4,"H",-0.4573213436,-0.5818589493,-0.1245376057
"Triangle","BLYP","def2-QZVPP",12.5,"H",-0.4576623172,-0.5823140172,-0.1246517
"Triangle","B3LYP","def2-QZVPP",0.1,"H",11.729139652,11.7370516544,0.00791200239999945
"Triangle","B3LYP","def2-QZVPP",0.2,"H",4.2938336555,4.3019992303,0.00816557479999958
"Triangle","B3LYP","def2-QZVPP",0.3,"H",2.072262765,2.0792328654,0.00697010039999979
"Triangle","B3LYP","def2-QZVPP",0.4,"H",1.0903157732,1.0956010971,0.00528532390000014
"Triangle","B3LYP","def2-QZVPP",0.5,"H",0.5722151832,0.5756687226,0.00345353940000004
"Triangle","B3LYP","def2-QZVPP",0.6,"H",0.2688373739,0.270457604,0.00162023010000001
"Triangle","B3LYP","def2-QZVPP",0.7,"H",0.078639359,0.0784657788,-0.000173580200000009
"Triangle","B3LYP","def2-QZVPP",0.8,"H",-0.046463467,-0.0483916772,-0.0019282102
"Triangle","B3LYP","def2-QZVPP",0.9,"H",-0.1316687581,-0.1353261737,-0.00365741559999999
"Triangle","B3LYP","def2-QZVPP",1,"H",-0.1912312373,-0.1966071437,-0.00537590639999999
"Triangle","B3LYP","def2-QZVPP",1.1,"H",-0.2337018991,-0.2408012961,-0.00709939700000001
"Triangle","B3LYP","def2-QZVPP",1.2,"H",-0.2644459199,-0.2732893614,-0.00884344149999999
"Triangle","B3LYP","def2-QZVPP",1.3,"H",-0.2869575543,-0.2975796833,-0.010622129
"Triangle","B3LYP","def2-QZVPP",1.4,"H",-0.3035830142,-0.316032413,-0.0124493988
"Triangle","B3LYP","def2-QZVPP",1.5,"H",-0.3159368404,-0.3302766036,-0.0143397632
"Triangle","B3LYP","def2-QZVPP",1.6,"H",-0.3251549611,-0.3414622032,-0.0163072421
"Triangle","B3LYP","def2-QZVPP",1.7,"H",-0.3320530338,-0.3504175411,-0.0183645073
"Triangle","B3LYP","def2-QZVPP",1.8,"H",-0.3372260881,-0.3577487241,-0.020522636
"Triangle","B3LYP","def2-QZVPP",1.9,"H",-0.3411136423,-0.3639038726,-0.0227902303
"Triangle","B3LYP","def2-QZVPP",2,"H",-0.3440447707,-0.3692168388,-0.0251720681
"Triangle","B3LYP","def2-QZVPP",2.1,"H",-0.3462691906,-0.3739378914,-0.0276687008
"Triangle","B3LYP","def2-QZVPP",2.2,"H",-0.3479778455,-0.3782551347,-0.0302772892
"Triangle","B3LYP","def2-QZVPP",2.3,"H",-0.3493170382,-0.3823093852,-0.032992347
"Triangle","B3LYP","def2-QZVPP",2.4,"H",-0.3503999628,-0.3862050908,-0.035805128
"Triangle","B3LYP","def2-QZVPP",2.5,"H",-0.351317645,-0.3900189793,-0.0387013343
"Triangle","B3LYP","def2-QZVPP",2.6,"H",-0.3521489627,-0.3938068649,-0.0416579022
