Distance HF_Energy DFA_Energy Coefficient Exponent
0.089 69.8043149995 69.8320112302 -0.1501527 129.3601426
0.090 68.9168616320 68.9445728649 -0.1523886 129.3601172
0.091 68.0496980970 68.0774223467 -0.1546362 129.3599798
0.092 67.2021557328 67.2298910925 -0.1569157 129.3600781
0.093 66.3735946267 66.4013392606 -0.1591974 129.3599324
0.094 65.5634020950 65.5911542313 -0.1615054 129.3599087
0.095 64.7709912602 64.7987491856 -0.1638271 129.3598974
0.096 63.9957997164 64.0235617710 -0.1661754 129.3600033
0.097 63.2372882771 63.2650528512 -0.1685283 129.3598551
0.098 62.4949397992 62.5227053298 -0.1709082 129.3599637
0.099 61.7682580775 61.7960230462 -0.1732951 129.3598147
0.100 61.0567668050 61.0845297356 -0.1757073 129.3565233
0.10 61.0567668050 61.0845297356 -0.1757636 129.35618
0.15 38.0562520228 38.0825411116 -0.3156652 129.35618
0.20 27.0606857872 27.0845459257 -0.4876379 129.35618
0.25 20.7266454723 20.7478667071 -0.6759470 129.35618
0.30 16.6386285638 16.6581230129 -0.8998048 129.35618
0.35 13.8147085401 13.8324246604 -1.1315322 129.35618
0.40 11.7607156267 11.7767109880 -1.3612039 129.35618
0.45 10.2051507814 10.2195788897 -1.5841349 129.35618
0.50 8.9900200366 9.0030264114 -1.7932784 129.35618
0.55 8.0171364961 8.0288464049 -1.9813859 129.35618
0.60 7.2223308335 7.2328489698 -2.1417683 129.35618
0.65 6.5619753127 6.5713890335 -2.2683546 129.35618
0.70 6.0054316643 6.0138154099 -2.3556345 129.35618
0.75 5.5305795296 5.5379974980 -2.3993078 129.35618
0.80 5.1210856309 5.1275928565 -2.3953788 129.35618
0.85 4.7646388294 4.7702819256 -2.3401471 129.35618
0.90 4.4517959150 4.4566137167 -2.2301151 129.35618
0.95 4.1752004142 4.1792244535 -2.0621159 129.35618
1.00 3.9290367438 3.9322914924 -1.8327437 129.35618
1.05 3.7086565214 3.7111595232 -1.5381996 129.35618
1.10 3.5102999808 3.5120621270 -1.1743472 129.35618
1.15 3.3308968317 3.3319231840 -0.7373735 129.35618
1.20 3.1679161494 3.1682073812 -0.2244418 129.35618
1.25 3.0192488140 3.0188027476 0.3669473 129.35618
1.30 2.8831258268 2.8819384235 1.0376875 129.35618
1.35 2.7580511230 2.7561166758 1.7882584 129.35618
1.40 2.6427535444 2.6400643607 2.6195620 129.35618
1.45 2.5361484249 2.5326943516 3.5087285 128.74617
1.50 2.4373037063 2.4330716452 4.4671105 128.13616
1.55 2.3454167025 2.3403901480 5.4945641 127.52615
1.60 2.2597911811 2.2539497064 6.5921002 126.91614
1.65 2.1798210494 2.1731397763 7.7599533 126.30613
1.70 2.1049765612 2.0974256985 9.0002794 125.69612
1.75 2.0347907203 2.0263352252 10.3152865 125.08611
1.80 1.9688510222 1.9594504649 11.7067314 124.47610
1.85 1.9067898122 1.8963983609 13.1778413 123.86609
1.90 1.8482793986 1.8368458952 14.7301773 123.25608
1.95 1.7930257538 1.7804937716 16.3668895 122.64607
2.00 1.7407650346 1.7270729141 18.0900959 122.03605
2.05 1.6912606189 1.6763414630 19.9026114 121.42604
2.10 1.6442991816 1.6280808031 21.8074193 120.81603
2.15 1.5996892202 1.5820941140 23.8077914 120.20602
2.20 1.5572577533 1.5382030751 25.9071148 119.59601
2.25 1.5168486042 1.4962462455 28.1104102 118.98600
2.30 1.4783207687 1.4560775255 30.4172762 118.37599
2.35 1.4415458448 1.4175637258 32.8355423 117.76598
2.40 1.4064072451 1.3805840354 35.3668972 117.15597
2.45 1.3727978609 1.3450279705 38.0134733 116.54596
2.50 1.3406188163 1.3107945664 40.7766511 115.93595
2.55 1.3097781452 1.2777916130 43.6545778 115.32594
2.60 1.2801886192 1.2459340539 46.6430289 114.71593
2.65 1.2517670382 1.2151439101 49.7330373 114.10592
2.70 1.2244325200 1.1853489679 52.9109240 113.49591
2.75 1.1981061248 1.1564825726 56.1581595 112.88590
2.80 1.1727110384 1.1284835655 59.4513546 112.27588
2.85 1.1481726727 1.1012956066 62.7637244 111.66587
2.90 1.1244203714 1.0748678003 66.0668465 111.05586
2.95 1.1013882932 1.0491541453 69.3330925 110.44585
3.00 1.0790169118 1.0241137301 72.5373598 109.83584
3.05 1.0572540839 0.9997108293 75.6589297 109.22583
3.10 1.0360549281 0.9759141354 78.6822234 108.61582
3.15 1.0153820506 0.9526967587 81.5963285 108.00581
3.20 0.9952043850 0.9300351154 84.3952656 107.39580
3.25 0.9754963631 0.9079085500 87.0765561 106.78579
3.30 0.9562369695 0.8862990703 87.2560808 106.17578
3.35 0.9374083089 0.8651904482 85.7411449 105.56577
3.40 0.9189951465 0.8445681106 80.7161311 104.95576
3.45 0.9009837735 0.8244182063 68.4851747 104.34575
3.50 0.8833619001 0.8047278278 78.3896333 103.73574
3.55 0.8661179322 0.7854845646 100.7623613 103.12573
3.60 0.8492408926 0.7666767003 102.6645102 102.51572
3.65 0.8327204135 0.7482931293 104.4631560 101.90570
3.70 0.8165463245 0.7303227334 106.1595263 101.29569
3.75 0.8007089849 0.7127547253 107.7550427 100.68568
3.80 0.7851989446 0.6955783456 109.2510694 100.07567
