Distance HF_Energy DFA_Energy Coefficient Exponent
1.14 -0.6014655123 -0.6079579744 4.3994548 120.56597
1.16 -0.6009136242 -0.6078916136 4.7754964 120.19224
1.18 -0.6002724877 -0.6077406099 5.1598037 119.81851
1.20 -0.5995505955 -0.6075134012 5.5515155 119.44478
1.22 -0.5987557353 -0.6072177195 5.9510599 119.07104
1.24 -0.5978950539 -0.6068606547 6.3575856 118.69731
1.26 -0.5969751143 -0.6064487120 6.7711720 118.32358
1.28 -0.5960019479 -0.6059878635 7.1914786 117.94985
1.30 -0.5949811010 -0.6054835945 7.6181252 117.57612
1.32 -0.5939176765 -0.6049409453 8.0507717 117.20239
1.34 -0.5928163724 -0.6043645492 8.4891880 116.82866
1.36 -0.5916815156 -0.6037586662 8.9335561 116.45493
1.38 -0.5905170937 -0.6031272144 9.3825419 116.08119
1.40 -0.5893267844 -0.6024737994 9.8368058 115.70746
1.42 -0.5881139748 -0.6018017339 10.2956417 115.33373
1.44 -0.5868817945 -0.6011140693 10.7592577 114.96000
1.46 -0.5856331301 -0.6004136114 11.2271526 114.58627
1.48 -0.5843706464 -0.5997029407 11.6979698 114.21254
1.50 -0.5830968036 -0.5989844298 12.1726059 113.83881
1.52 -0.5818138736 -0.5982602595 12.6514117 113.46507
1.54 -0.5805239545 -0.5975324330 13.1320523 113.09134
1.56 -0.5792289838 -0.5968027899 13.6157832 112.71761
1.58 -0.5779307509 -0.5960730176 14.1024072 112.34388
1.60 -0.5766309078 -0.5953446629 14.5905195 111.97015
1.62 -0.5753309797 -0.5946191422 15.0808427 111.59642
1.64 -0.5740323743 -0.5938977504 15.5727490 111.22269
1.66 -0.5727363903 -0.5931816703 16.0662733 110.84896
1.68 -0.5714442257 -0.5924719802 16.5607992 110.47522
1.70 -0.5701569847 -0.5917696614 17.0558406 110.10149
1.72 -0.5688756847 -0.5910756048 17.5516500 109.72776
1.74 -0.5676012628 -0.5903906170 18.0478856 109.35403
1.76 -0.5663345810 -0.5897154265 18.5437764 108.98030
1.78 -0.5650764321 -0.5890506886 19.0396190 108.60657
1.80 -0.5638275444 -0.5883969908 19.5349298 108.23284
1.82 -0.5625885860 -0.5877548577 20.0295397 107.85910
1.84 -0.5613601693 -0.5871247547 20.5231593 107.48537
1.86 -0.5601428547 -0.5865070919 21.0153689 107.11164
1.88 -0.5589371541 -0.5859022283 21.5061135 106.73791
1.90 -0.5577435341 -0.5853104750 21.9950598 106.36418
1.92 -0.5565624190 -0.5847320983 22.4822043 105.99045
1.94 -0.5553941933 -0.5841673236 22.9668101 105.61672
1.96 -0.5542392046 -0.5836163376 23.4488293 105.24299
1.98 -0.5530977655 -0.5830792909 23.9283884 104.86925
2.00 -0.5519701560 -0.5825563007 24.4049292 104.49552
2.02 -0.5508566253 -0.5820474529 24.8780507 104.12179
2.04 -0.5497573937 -0.5815528042 25.3479280 103.74806
2.06 -0.5486726546 -0.5810723848 25.8142099 103.37433
2.08 -0.5476025758 -0.5806061998 26.2763052 103.00060
2.10 -0.5465473013 -0.5801542314 26.7361505 102.62687
2.12 -0.5455069529 -0.5797164407 27.1884098 102.25313
2.14 -0.5444816316 -0.5792927688 27.6376928 101.87940
2.16 -0.5434714190 -0.5788831385 28.0824609 101.50567
2.18 -0.5424763786 -0.5784874558 28.5221836 101.13194
2.20 -0.5414965574 -0.5781056110 28.9569286 100.75821
2.22 -0.5405319871 -0.5777374803 29.3864753 100.38448
2.24 -0.5395826853 -0.5773829270 29.8101654 100.01075
2.26 -0.5386486566 -0.5770418028 30.2286824 99.63701
2.28 -0.5377298940 -0.5767139485 30.6412248 99.26328
2.30 -0.5368263800 -0.5763991953 31.0481434 98.88955
2.32 -0.5359380872 -0.5760973654 31.4484550 98.51582
2.34 -0.5350649800 -0.5758082728 31.8427154 98.14209
2.36 -0.5342070149 -0.5755317247 32.2307390 97.76836
2.38 -0.5333641414 -0.5752675214 32.6118705 97.39463
2.40 -0.5325363030 -0.5750154580 32.9910361 97.02090
2.42 -0.5317234377 -0.5747753244 33.3541361 96.64716
2.44 -0.5309254785 -0.5745469065 33.7147153 96.27343
2.46 -0.5301423540 -0.5743299863 34.0682924 95.89970
2.48 -0.5293739885 -0.5741243427 34.4145558 95.52597
2.50 -0.5286203027 -0.5739297523 34.7534057 95.15224
2.52 -0.5278812137 -0.5737459891 35.0846747 94.77851
2.54 -0.5271566350 -0.5735728254 35.4082970 94.40478
2.56 -0.5264464766 -0.5734100323 35.7241848 94.03104
2.58 -0.5257506450 -0.5732573797 36.0322121 93.65731
2.60 -0.5250690434 -0.5731146368 36.3321144 93.28358
2.62 -0.5244015709 -0.5729815728 36.6240677 92.90985
2.64 -0.5237481228 -0.5728579565 36.9076143 92.53612
2.66 -0.5231085904 -0.5727435574 37.1830704 92.16239
2.68 -0.5224828604 -0.5726381455 37.4502060 91.78866
2.70 -0.5218708152 -0.5725414916 37.7087060 91.41493
2.72 -0.5212723321 -0.5724533678 37.9587817 91.04119
2.74 -0.5206872833 -0.5723735474 38.2003097 90.66746
2.76 -0.5201155360 -0.5723018051 38.4330744 90.29373
2.78 -0.5195569518 -0.5722379172 38.6573162 89.92000
2.80 -0.5190113867 -0.5721816614 38.8726112 89.54627
2.82 -0.5184786912 -0.5721328175 39.0793662 89.17254
2.84 -0.5179587102 -0.5720911672 39.2773787 88.79881
2.86 -0.5174512829 -0.5720564944 39.4664609 88.42507
2.88 -0.5169562431 -0.5720285858 39.6466935 88.05134
2.90 -0.5164734190 -0.5720072308 39.8228105 87.67761
2.92 -0.5160026341 -0.5719922215 39.9813747 87.30388
2.94 -0.5155437065 -0.5719833535 40.1355358 86.93015
2.96 -0.5150964500 -0.5719804251 40.2810097 86.55642
2.98 -0.5146606739 -0.5719832378 40.4178384 86.18269
3.00 -0.5142361837 -0.5719915963 40.5461279 85.80896
3.02 -0.5138227814 -0.5720053080 40.6730009 85.43522
3.04 -0.5134202658 -0.5720241837 40.7769947 85.06149
3.06 -0.5130284330 -0.5720480372 40.8799206 84.68776
