Distance HF_Energy DFA_Energy Coefficient Exponent
0.067 39.9794065040 39.9945923315 -0.1601956 130.5393958
0.068 39.2953680889 39.3106250556 -0.1625301 130.5393914
0.069 38.6316123003 38.6469394169 -0.1648950 130.5394800
0.070 37.9871688243 38.0025650726 -0.1672663 130.5393456
0.071 37.3612939576 37.3767582798 -0.1696674 130.5393335
0.072 36.7531657115 36.7686970326 -0.1720956 130.5393109
0.073 36.1621219308 36.1777191552 -0.1745392 130.5392967
0.074 35.5873797167 35.6030417528 -0.1770073 130.5392818
0.075 35.0283513881 35.0440771352 -0.1794990 130.5393920
0.076 34.4843733482 34.5001617102 -0.1820066 130.5392431
0.077 33.9549192802 33.9707691540 -0.1845349 130.5393512
0.078 33.4393495229 33.4552598133 -0.1870762 130.5393352
0.079 32.9371945447 32.9531641474 -0.1896353 130.5391930
0.080 32.4479122824 32.4639400953 -0.1922259 130.5393038
0.081 31.9710799955 31.9871649091 -0.1948261 130.5391533
0.082 31.5061690707 31.5223099865 -0.1974495 130.5391354
0.083 31.0528006273 31.0689964461 -0.2000913 130.5391191
0.084 30.6105449410 30.6267945759 -0.2027532 130.5392354
0.085 30.1790231380 30.1953255150 -0.2054282 130.5392272
0.086 29.7578120949 29.7741661632 -0.2081250 130.5392012
0.087 29.3466033173 29.3630080398 -0.2108363 130.5391914
0.088 28.9450236439 28.9614780073 -0.2135701 130.5391716
0.089 28.5527927501 28.5692957552 -0.2163189 130.5391550
0.090 28.1695385565 28.1860892292 -0.2190856 130.5390035
0.091 27.7950078379 27.8116052146 -0.2218797 130.5391281
0.092 27.4288866829 27.4455298173 -0.2246882 130.5391104
0.093 27.0709440761 27.0876320286 -0.2275107 130.5389563
0.094 26.7208636686 26.7375955175 -0.2303610 130.5390774
0.095 26.3784360909 26.3952109196 -0.2332179 130.5389268
0.096 26.0433951297 26.0602120356 -0.2361072 130.5390525
0.097 25.7155490945 25.7324071811 -0.2390066 130.5388939
0.098 25.3946269095 25.4115252985 -0.2419294 130.5388788
0.099 25.0804543403 25.0973921613 -0.2448704 130.5388082
0.100 24.7728039528 24.7897803516 -0.2477510 130.5355800
0.10 24.7728039528 24.7897803516 -0.2477510 130.53558
0.14 16.2080744281 16.2259993249 -0.3809360 130.53558
0.18 11.6286387922 11.6466442634 -0.5375077 130.53558
0.22 8.8278738656 8.8453955911 -0.7069050 130.53558
0.26 6.9657363870 6.9825217562 -0.8853983 130.53558
0.30 5.6522086928 5.6682118049 -1.0715947 130.53558
0.34 4.6859241610 4.7010720605 -1.2579216 130.53558
0.38 3.9521910658 3.9664234958 -1.4380593 130.53558
0.42 3.3802087703 3.3935050736 -1.6074557 130.53558
0.46 2.9245301882 2.9368926264 -1.7621509 130.53558
0.50 2.5549017922 2.5663447860 -1.8977799 130.53558
0.54 2.2504824112 2.2610266939 -2.0108455 130.53558
0.58 1.9964779508 2.0061465603 -2.0981364 130.53558
0.62 1.7821232889 1.7909389297 -2.1566461 130.53558
0.66 1.5994180939 1.6074015667 -2.1832338 130.53558
0.70 1.4423117136 1.4494812322 -2.1749947 130.53558
0.74 1.3061548307 1.3125261237 -2.1293774 130.53558
0.78 1.1873239800 1.1929108530 -2.0441289 130.53558
0.82 1.0829558342 1.0877705783 -1.9175170 130.53558
0.86 0.9907608583 0.9948142247 -1.7478034 130.53558
0.90 0.9088889392 0.9121898725 -1.5337351 130.53558
0.94 0.8358312620 0.8383866676 -1.2734627 130.53558
0.98 0.7703476596 0.7721623088 -0.9657995 130.53558
1.02 0.7114103674 0.7124869085 -0.6097153 130.53558
1.06 0.6581621208 0.6585011791 -0.2036055 130.53558
1.10 0.6098822851 0.6094826149 0.2535578 130.53558
1.14 0.5659617175 0.5648204056 0.7627180 130.53558
1.18 0.5258820190 0.5239946946 1.3246807 130.53558
1.22 0.4891998186 0.4865608455 1.9399539 130.53558
1.26 0.4555338750 0.4521364865 2.6087053 130.53558
1.30 0.4245547804 0.4203911463 3.3316860 130.53558
1.34 0.3959769394 0.3910381807 4.0853771 130.01566
1.38 0.3695515670 0.3638277275 4.8841581 129.49573
1.42 0.3450613506 0.3385413590 5.7269916 128.97580
1.46 0.3223155998 0.3149872234 6.6131393 128.45588
1.50 0.3011465306 0.2929963381 7.5417025 127.93595
1.54 0.2814060119 0.2724193402 8.5118774 127.41602
1.58 0.2629626570 0.2531235716 9.5229163 126.89610
1.62 0.2456997454 0.2349910070 10.5740826 126.37617
1.66 0.2295131226 0.2179161412 11.6645143 125.85624
1.70 0.2143097288 0.2018045214 12.7938099 125.33632
1.74 0.2000061241 0.1865712568 13.9614687 124.81639
1.78 0.1865274618 0.1721399996 15.1669586 124.29646
1.82 0.1738064415 0.1584418936 16.4100558 123.77653
1.86 0.1617825541 0.1454148362 17.6905922 123.25661
1.90 0.1504013082 0.1330027178 19.0083604 122.73668
1.94 0.1396135401 0.1211547484 20.3634456 122.21675
1.98 0.1293749032 0.1098249693 21.7559779 121.69683
2.02 0.1196452413 0.0989716304 23.1857289 121.17690
2.06 0.1103882428 0.0885568646 24.6531617 120.65697
2.10 0.1015708961 0.0785461273 26.1588088 120.13705
2.14 0.0931632487 0.0689079632 27.7023286 119.61712
2.18 0.0851380182 0.0596136017 29.2846750 119.09719
2.22 0.0774703830 0.0506367565 30.9064087 118.57727
2.26 0.0701377113 0.0419533564 32.5680681 118.05734
2.30 0.0631193103 0.0335413101 34.2705532 117.53741
2.34 0.0563962522 0.0253803827 36.0147818 117.01749
2.38 0.0499510837 0.0174519607 37.8017306 116.49756
2.42 0.0437676325 0.0097389622 39.6323468 115.97763
2.46 0.0378307008 0.0022256394 41.5073518 115.45770
2.50 0.0321258104 -0.0051025189 43.4267650 114.93778
2.54 0.0266389281 -0.0122588911 45.3905738 114.41785
2.58 0.0213561381 -0.0192558920 47.3971567 113.89792
2.62 0.0162634578 -0.0261049826 49.4443884 113.37800
2.66 0.0113466056 -0.0328168041 51.5282443 112.85807
2.70 0.0065909455 -0.0394011711 53.6432633 112.33814
2.74 0.0019814623 -0.0458671508 55.7825804 111.81822
2.78 -0.0024970728 -0.0522230203 57.9379924 111.29829
2.82 -0.0068598657 -0.0584762790 60.0997227 110.77836
2.86 -0.0111217753 -0.0646336272 62.2576031 110.25844
2.90 -0.0152969261 -0.0707009479 64.4008356 109.73851
2.94 -0.0193983593 -0.0766833320 66.5193689 109.21858
2.98 -0.0234376919 -0.0825850445 68.6031128 108.69865
3.02 -0.0274249356 -0.0884095995 70.6435108 108.17873
3.06 -0.0313683419 -0.0941597288 70.6147559 107.65880
3.10 -0.0352744648 -0.0998375360 74.5666927 107.13887
3.14 -0.0391482172 -0.1054445303 76.4390244 106.61895
3.18 -0.0429930817 -0.1109817848 78.2468987 106.09902
3.22 -0.0468113011 -0.1164499884 79.9887047 105.57909
3.26 -0.0506041240 -0.1218495321 81.6632495 105.05917
3.30 -0.0543720424 -0.1271805813 83.2700370 104.53924
3.34 -0.0581149699 -0.1324431080 84.8096026 104.01931
3.38 -0.0618324479 -0.1376370271 86.2822044 103.49939
3.42 -0.0655237566 -0.1427622283 86.9670033 102.97946
3.46 -0.0691880560 -0.1478186585 89.0299468 102.45953
3.50 -0.0728244439 -0.1528062974 89.0399468 101.93961
3.54 -0.0764320110 -0.1577251413 0.0000000 101.41968
3.58 -0.0800099104 -0.1625752281 0.0000000 100.89975
3.62 -0.0835573412 -0.1673566091 93.7653674 100.37982
3.66 -0.0870735931 -0.1720694451 94.7966706 99.85990
3.70 -0.0905580218 -0.1767139922 95.7690439 99.33997
3.74 -0.0940100774 -0.1812906350 96.6833606 98.82004
3.78 -0.0974292716 -0.1857998238 97.5406860 98.30012
3.82 -0.1008152009 -0.1902420769 98.3420193 97.78019
3.86 -0.1041675150 -0.1946179079 99.0883784 97.26026
3.90 -0.1074859217 -0.1989278335 99.7806442 96.74034
